make,model,year,price,mileage,overall_rating,complaint_count,reliability_score,age,depreciation_rate,fuel_type,engine,transmission,accident,clean_title
TOYOTA,4RUNNER TRAIL,2016,27750.0,117780.0,3.0,0.0,1.0,8,1.2,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,Yes
HYUNDAI,KONA EV SEL,2019,18200.0,33100.0,3.0,0.0,1.0,5,0.75,,201.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,Yes
LAND,ROVER RANGE ROVER EVOQUE SE,2016,18750.0,86202.0,3.0,0.0,1.0,8,1.2,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,Yes
FORD,E350 SUPER DUTY XLT,2012,19550.0,163000.0,3.0,0.0,1.0,12,1.7999999999999998,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,None reported,Yes
MERCEDES-BENZ,SL-CLASS SL500 ROADSTER,2004,24900.0,35400.0,3.0,0.0,1.0,20,3.0,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,Yes
JEEP,COMPASS TRAILHAWK,2018,22000.0,31000.0,4.0,589.0,0.5982264665757162,6,0.8999999999999999,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,Yes
MERCEDES-BENZ,S-CLASS S 560 4MATIC,2018,40998.0,103069.0,3.0,0.0,1.0,6,0.8999999999999999,Gasoline,4.0 Liter,Automatic,None reported,
MERCEDES-BENZ,G-CLASS G 550 4MATIC,2021,135800.0,22480.0,3.0,0.0,1.0,3,0.4499999999999999,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
TESLA,MODEL X P90D,2016,39500.0,91000.0,3.0,0.0,1.0,8,1.2,,691.0HP Electric Motor Electric Fuel System,A/T,None reported,Yes
LEXUS,IS-F BASE,2010,44800.0,41500.0,3.0,0.0,1.0,14,2.1,Gasoline,416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,Yes
BMW,335 I,2010,13000.0,91545.0,3.0,0.0,1.0,14,2.1,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,Yes
AUDI,RS 7 4.0T,2022,162500.0,4100.0,3.0,0.0,1.0,2,0.3,Hybrid,591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,Yes
BUICK,LUCERNE CXL,2006,5000.0,110000.0,3.0,0.0,1.0,18,2.6999999999999997,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
LINCOLN,MKX RESERVE,2016,18500.0,88000.0,3.0,0.0,1.0,8,1.2,Gasoline,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,Yes
NISSAN,ARMADA PLATINUM,2018,37000.0,42833.0,4.0,29.0,0.980218281036835,6,0.8999999999999999,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,Yes
